,album_title,song_title,lyrics,lemmatize_lyrics
0,TaylorSwift,Picture to Burn,"State the obvious, I didnt get my perfect fantasy I realize you love yourself more than you could ever love me So, go and tell your friends that Im obsessive and crazy Thats fine, you wont mind if I say By the way  I hate that stupid old pickup truck you never let me drive Youre a redneck heartbreak whos really bad at lyin So, watch me strike a match on all my wasted time As far as Im concerned, youre just another picture to burn  Theres no time for tears, Im just sittin here planning my revenge Theres nothing stoppin me from goin out with all of your best friends And if you come around sayin sorry to me My daddys gonna show ya how sorry youll be  Cause I hate that stupid old pickup truck you never let me drive Youre a redneck heartbreak whos really bad at lyin So, watch me strike a match on all my wasted time As far as Im concerned, youre just another picture to burn  And if youre missing me, youd better keep it to yourself Cause coming back around here would be bad for your health  Cause I hate that stupid old pickup truck you never let me drive Youre a redneck heartbreak whos really bad at lyin So, watch me strike a match on all my wasted time In case you havent heard I really, really hate that stupid old pickup truck you never let me drive Youre a redneck heartbreak whos really bad at lyin So, watch me strike a match on all my wasted time As far as Im concerned, youre just another picture to burn You might also like Burn, burn, burn, baby, burn Youre just another picture to burn Baby, burn",state the obvious i didnt get my perfect fantasy i realize you love yourself more than you could ever love me so go and tell your friend that im obsessive and crazy thats fine you wont mind if i say by the way i hate that stupid old pickup truck you never let me drive youre a redneck heartbreak who really bad at lyin so watch me strike a match on all my wasted time a far a im concerned youre just another picture to burn there no time for tear im just sittin here planning my revenge there nothing stoppin me from goin out with all of your best friend and if you come around sayin sorry to me my daddy gonna show ya how sorry youll be cause i hate that stupid old pickup truck you never let me drive youre a redneck heartbreak who really bad at lyin so watch me strike a match on all my wasted time a far a im concerned youre just another picture to burn and if youre missing me youd better keep it to yourself cause coming back around here would be bad for your health cause i hate that stupid old pickup truck you never let me drive youre a redneck heartbreak who really bad at lyin so watch me strike a match on all my wasted time in case you havent heard i really really hate that stupid old pickup truck you never let me drive youre a redneck heartbreak who really bad at lyin so watch me strike a match on all my wasted time a far a im concerned youre just another picture to burn you might also like burn burn burn baby burn youre just another picture to burn baby burn
1,TaylorSwift,Tim McGraw,"He said the way my blue eyes shined Put those Georgia stars to shame that night I said, ""Thats a lie"" Just a boy in a Chevy truck That had a tendency of gettin stuck On backroads at night And I was right there beside him all summer long And then the time we woke up to find that summer gone  But when you think Tim McGraw I hope you think my favorite song The one we danced to all night long The moon like a spotlight on the lake When you think happiness I hope you think that little black dress Think of my head on your chest And my old faded blue jeans When you think Tim McGraw I hope you think of me  September saw a month of tears And thankin God that you werent here To see me like that But in a box beneath my bed Is a letter that you never read From three summers back Its hard not to find it all a little bittersweet And lookin back on all of that, its nice to believe  When you think Tim McGraw I hope you think my favorite song The one we danced to all night long The moon like a spotlight on the lake When you think happiness I hope you think that little black dress Think of my head on your chest And my old faded blue jeans When you think Tim McGraw I hope you think of me  And Im back for the first time since then Im standin on your street And theres a letter left on your doorstep And the first thing that youll read You might also like Is, ""When you think Tim McGraw I hope you think my favorite song Someday youll turn your radio on I hope it takes you back to that place"" When you think happiness I hope you think that little black dress Think of my head on your chest And my old faded blue jeans When you think Tim McGraw I hope you think of me  Oh, think of me, mmm He said the way my blue eyes shined Put those Georgia stars to shame that night I said, ""Thats a lie""","he said the way my blue eye shined put those georgia star to shame that night i said ""thats a lie"" just a boy in a chevy truck that had a tendency of gettin stuck on backroads at night and i wa right there beside him all summer long and then the time we woke up to find that summer gone but when you think tim mcgraw i hope you think my favorite song the one we danced to all night long the moon like a spotlight on the lake when you think happiness i hope you think that little black dress think of my head on your chest and my old faded blue jean when you think tim mcgraw i hope you think of me september saw a month of tear and thankin god that you werent here to see me like that but in a box beneath my bed is a letter that you never read from three summer back it hard not to find it all a little bittersweet and lookin back on all of that it nice to believe when you think tim mcgraw i hope you think my favorite song the one we danced to all night long the moon like a spotlight on the lake when you think happiness i hope you think that little black dress think of my head on your chest and my old faded blue jean when you think tim mcgraw i hope you think of me and im back for the first time since then im standin on your street and there a letter left on your doorstep and the first thing that youll read you might also like is ""when you think tim mcgraw i hope you think my favorite song someday youll turn your radio on i hope it take you back to that place"" when you think happiness i hope you think that little black dress think of my head on your chest and my old faded blue jean when you think tim mcgraw i hope you think of me oh think of me mmm he said the way my blue eye shined put those georgia star to shame that night i said ""thats a lie"""
2,TaylorSwift,The Outside,"I didnt know what I would find When I went looking for a reason, I know I didnt read between the lines And, baby, Ive got nowhere to go  I tried to take the road less traveled by But nothing seems to work the first few times Am I right?  So how can I ever try to be better? Nobody ever lets me in I can still see you, this aint the best view On the outside looking in Ive been a lot of lonely places Ive never been on the outside  You saw me there, but never knew That I would give it all up to be A part of this, a part of you And now its all too late, so you see  You couldve helped if you had wanted to But no one notices until its too Late to do anything  How can I ever try to be better? Nobody ever lets me in I can still see you, this aint the best view On the outside looking in Ive been a lot of lonely places Ive never been on the outside You might also like Oh, yeah  How can I ever try to be better? Nobody ever lets me in And I can still see you, this aint the best view On the outside looking in Ive been a lot of lonely places Ive never been on the outside  Oh-oh Oh, oh-oh Oh-oh Oh-oh",i didnt know what i would find when i went looking for a reason i know i didnt read between the line and baby ive got nowhere to go i tried to take the road less traveled by but nothing seems to work the first few time am i right? so how can i ever try to be better? nobody ever let me in i can still see you this aint the best view on the outside looking in ive been a lot of lonely place ive never been on the outside you saw me there but never knew that i would give it all up to be a part of this a part of you and now it all too late so you see you couldve helped if you had wanted to but no one notice until it too late to do anything how can i ever try to be better? nobody ever let me in i can still see you this aint the best view on the outside looking in ive been a lot of lonely place ive never been on the outside you might also like oh yeah how can i ever try to be better? nobody ever let me in and i can still see you this aint the best view on the outside looking in ive been a lot of lonely place ive never been on the outside oh-oh oh oh-oh oh-oh oh-oh
3,TaylorSwift,Teardrops On My Guitar,"Drew looks at me I fake a smile, so he wont see That I want and Im needing Everything that we should be  Ill bet shes beautiful, that girl he talks about And shes got everything that I have to live without  Drew talks to me I laugh cause its just so funny That I cant even see Anyone when hes with me  He says hes so in love, hes finally got it right I wonder if he knows hes all I think about at night  Hes the reason for the teardrops on my guitar The only thing that keeps me wishin on a wishing star Hes the song in the car I keep singing, dont know why I do  Drew walks by me Can he tell that I cant breathe? And there he goes, so perfectly The kind of flawless I wish I could be  Shed better hold him tight, give him all her love Look in those beautiful eyes and know shes lucky cause  Hes the reason for the teardrops on my guitar The only thing that keeps me wishin on a wishing star Hes the song in the car I keep singing, dont know why I do  So, Ill drive home alone as I turn off the light Ill put his picture down and maybe get some sleep tonight You might also like Cause hes the reason for the teardrops on my guitar The only one whos got enough of me to break my heart Hes the song in the car I keep singing, dont know why I do  Hes the time taken up, but theres never enough And hes all that I need to fall into Drew looks at me I fake a smile, so he wont see",drew look at me i fake a smile so he wont see that i want and im needing everything that we should be ill bet shes beautiful that girl he talk about and shes got everything that i have to live without drew talk to me i laugh cause it just so funny that i cant even see anyone when he with me he say he so in love he finally got it right i wonder if he know he all i think about at night he the reason for the teardrop on my guitar the only thing that keep me wishin on a wishing star he the song in the car i keep singing dont know why i do drew walk by me can he tell that i cant breathe? and there he go so perfectly the kind of flawless i wish i could be shed better hold him tight give him all her love look in those beautiful eye and know shes lucky cause he the reason for the teardrop on my guitar the only thing that keep me wishin on a wishing star he the song in the car i keep singing dont know why i do so ill drive home alone a i turn off the light ill put his picture down and maybe get some sleep tonight you might also like cause he the reason for the teardrop on my guitar the only one who got enough of me to break my heart he the song in the car i keep singing dont know why i do he the time taken up but there never enough and he all that i need to fall into drew look at me i fake a smile so he wont see
4,TaylorSwift,Mary's Song (Oh My My My),"She said I was seven and you were nine I looked at you like the stars that shined In the sky, the pretty lights And our daddies used to joke about the two of us Growing up and falling in love And our mamas smiled and rolled their eyes And said, ""Oh, my, my, my""  Take me back to the house in the backyard tree Said youd beat me up, you were bigger than me You never did, you never did Take me back when our world was one block wide I dared you to kiss me and ran when you tried Just two kids, you and I Oh, my, my, my, my  Well, I was sixteen when suddenly I wasnt that little girl you used to see But your eyes still shined like pretty lights And our daddies used to joke about the two of us They never believed wed really fall in love And our mamas smiled and rolled their eyes And said, ""Oh, my, my, my""  Take me back to the creek beds we turned up 2 a.m. riding in your truck And all I need is you next to me Take me back to the time we had our very first fight The slamming of doors stead of kissing goodnight You stayed outside til the morning light Oh, my, my, my, my  A few years had gone and come around We were sitting at our favorite spot in town And you looked at me, got down on one knee  Take me back to the time when we walked down the aisle Our whole town came and our mamas cried You said, ""I do,"" and I did, too Take me home where we met so many years before Well rock our babies on that very front porch After all this time, you and I You might also like And Ill be eighty-seven, youll be eighty-nine Ill still look at you like the stars that shine In the sky, oh, my, my, my","she said i wa seven and you were nine i looked at you like the star that shined in the sky the pretty light and our daddy used to joke about the two of u growing up and falling in love and our mama smiled and rolled their eye and said ""oh my my my"" take me back to the house in the backyard tree said youd beat me up you were bigger than me you never did you never did take me back when our world wa one block wide i dared you to kiss me and ran when you tried just two kid you and i oh my my my my well i wa sixteen when suddenly i wasnt that little girl you used to see but your eye still shined like pretty light and our daddy used to joke about the two of u they never believed wed really fall in love and our mama smiled and rolled their eye and said ""oh my my my"" take me back to the creek bed we turned up 2 a.m. riding in your truck and all i need is you next to me take me back to the time we had our very first fight the slamming of door stead of kissing goodnight you stayed outside til the morning light oh my my my my a few year had gone and come around we were sitting at our favorite spot in town and you looked at me got down on one knee take me back to the time when we walked down the aisle our whole town came and our mama cried you said ""i do"" and i did too take me home where we met so many year before well rock our baby on that very front porch after all this time you and i you might also like and ill be eighty-seven youll be eighty-nine ill still look at you like the star that shine in the sky oh my my my"
5,TaylorSwift,Tied Together with a Smile,"Seems the only one who doesnt see your beauty Is the face in the mirror looking back at you You walk around here thinking youre not pretty But thats not true Cause I know you  Hold on, baby, youre losing it The waters high, youre jumping into it and letting go And no one knows That you cry, but you dont tell anyone That you might not be the golden one And youre tied together with a smile But youre coming undone, oh  I guess its true that love was all you wanted Cause youre giving it away like its extra change Hoping it will end up in his pocket (Pocket) But he leaves you out like a penny in the rain Oh, cause its not his price to pay Its not his price to pay  Hold on, baby, youre losing it The waters high, youre jumping into it and letting go And no one knows That you cry, but you dont tell anyone That you might not be the golden one And youre tied together with a smile But youre coming undone, oh Oh, oh  Hold on, baby, youre losing it The waters high, youre jumping into it and letting go And no one knows That you cry but you dont tell anyone That you might not be the golden one And youre tied together with a smile But youre coming undone, oh You might also like Youre tied together with a smile But youre coming undone, oh, oh-oh Goodbye, baby With a smile, baby, baby Oh",seems the only one who doesnt see your beauty is the face in the mirror looking back at you you walk around here thinking youre not pretty but thats not true cause i know you hold on baby youre losing it the water high youre jumping into it and letting go and no one know that you cry but you dont tell anyone that you might not be the golden one and youre tied together with a smile but youre coming undone oh i guess it true that love wa all you wanted cause youre giving it away like it extra change hoping it will end up in his pocket (pocket) but he leaf you out like a penny in the rain oh cause it not his price to pay it not his price to pay hold on baby youre losing it the water high youre jumping into it and letting go and no one know that you cry but you dont tell anyone that you might not be the golden one and youre tied together with a smile but youre coming undone oh oh oh hold on baby youre losing it the water high youre jumping into it and letting go and no one know that you cry but you dont tell anyone that you might not be the golden one and youre tied together with a smile but youre coming undone oh you might also like youre tied together with a smile but youre coming undone oh oh-oh goodbye baby with a smile baby baby oh
6,TaylorSwift,A Perfectly Good Heart,"Why would you wanna break A perfectly good heart? Why would you wanna take Our love and tear it all apart now? Why would you wanna make The very first scar? Why would you wanna break A perfectly good heart?  Maybe I shouldve seen the signs Shouldve read the writing on the wall And realized by the distance in your eyes That I would be the one to fall  No matter what you say I still cant believe that you would walk away It dont make sense to me, but  Why would you wanna break A perfectly good heart? Why would you wanna take Our love and tear it all apart now? Why would you wanna make The very first scar? Why would you wanna break A perfectly good heart?  Its not unbroken anymore (Its not unbroken anymore) How do I get it back the way it was before?  Why would you wanna break A perfectly good heart? Why would you wanna take Our love and tear it all apart now? Why would you wanna make The very first scar? Why would you wanna break— (Why) Would you wanna break it? You might also like Why would you wanna break A perfectly good heart? Why would you wanna take Our love and tear it all apart now? Why would you wanna make The very first scar? Why would you wanna break A perfectly good heart?  Mmm-hmm",why would you wanna break a perfectly good heart? why would you wanna take our love and tear it all apart now? why would you wanna make the very first scar? why would you wanna break a perfectly good heart? maybe i shouldve seen the sign shouldve read the writing on the wall and realized by the distance in your eye that i would be the one to fall no matter what you say i still cant believe that you would walk away it dont make sense to me but why would you wanna break a perfectly good heart? why would you wanna take our love and tear it all apart now? why would you wanna make the very first scar? why would you wanna break a perfectly good heart? it not unbroken anymore (its not unbroken anymore) how do i get it back the way it wa before? why would you wanna break a perfectly good heart? why would you wanna take our love and tear it all apart now? why would you wanna make the very first scar? why would you wanna break— (why) would you wanna break it? you might also like why would you wanna break a perfectly good heart? why would you wanna take our love and tear it all apart now? why would you wanna make the very first scar? why would you wanna break a perfectly good heart? mmm-hmm
7,TaylorSwift,A Place In This World,"I dont know what I want, so dont ask me Cause Im still trying to figure it out Dont know whats down this road, Im just walking Trying to see through the rain coming down Even though Im not the only one Who feels the way I do  Im alone, on my own, and thats all I know Ill be strong, Ill be wrong, oh, but life goes on Oh, Im just a girl trying to find a place in this world  Got the radio on, my old blue jeans And Im wearing my heart on my sleeve Feeling lucky today, got the sunshine Could you tell me what more do I need? And tomorrows just a mystery, oh, yeah But thats okay  Im alone, on my own, and thats all I know Ill be strong, Ill be wrong, oh, but life goes on Oh, Im just a girl trying to find a place in this world  Maybe Im just a girl on a mission But Im ready to fly  Im alone, on my own, and thats all I know Ill be strong, Ill be wrong, oh, but life goes on Oh, Im alone, on my own, and thats all I know Oh, Im just a girl trying to find a place in this world  Oh, Im just a girl Oh, Im just a girl, oh, oh Oh, Im just a girlYou might also like",i dont know what i want so dont ask me cause im still trying to figure it out dont know whats down this road im just walking trying to see through the rain coming down even though im not the only one who feel the way i do im alone on my own and thats all i know ill be strong ill be wrong oh but life go on oh im just a girl trying to find a place in this world got the radio on my old blue jean and im wearing my heart on my sleeve feeling lucky today got the sunshine could you tell me what more do i need? and tomorrow just a mystery oh yeah but thats okay im alone on my own and thats all i know ill be strong ill be wrong oh but life go on oh im just a girl trying to find a place in this world maybe im just a girl on a mission but im ready to fly im alone on my own and thats all i know ill be strong ill be wrong oh but life go on oh im alone on my own and thats all i know oh im just a girl trying to find a place in this world oh im just a girl oh im just a girl oh oh oh im just a girlyou might also like
8,TaylorSwift,Cold as You,"You have a way of coming easily to me And when you take, you take the very best of me So I start a fight cause I need to feel something And you do what you want cause Im not what you wanted  Oh, what a shame, what a rainy ending given to a perfect day Just walk away, aint no use defending words that you will never say And now that Im sitting here thinking it through Ive never been anywhere cold as you  You put up walls and paint them all a shade of gray And I stood there loving you and wished them all away And you come away with a great little story Of a mess of a dreamer with the nerve to adore you  Oh, what a shame, what a rainy ending given to a perfect day So just walk away, aint no use defending words that you will never say And now that Im sitting here thinking it through Ive never been anywhere cold as you  You never did give a damn thing, honey, but I cried, cried for you And I know you wouldnt have told nobody if I died, died for you (Died for you)  Oh, what a shame, what a rainy ending given to a perfect day Every smile you fake is so condescending Counting all the scars you made And now that Im sitting here thinking it through Ive never been anywhere cold as you OohYou might also like",you have a way of coming easily to me and when you take you take the very best of me so i start a fight cause i need to feel something and you do what you want cause im not what you wanted oh what a shame what a rainy ending given to a perfect day just walk away aint no use defending word that you will never say and now that im sitting here thinking it through ive never been anywhere cold a you you put up wall and paint them all a shade of gray and i stood there loving you and wished them all away and you come away with a great little story of a mess of a dreamer with the nerve to adore you oh what a shame what a rainy ending given to a perfect day so just walk away aint no use defending word that you will never say and now that im sitting here thinking it through ive never been anywhere cold a you you never did give a damn thing honey but i cried cried for you and i know you wouldnt have told nobody if i died died for you (died for you) oh what a shame what a rainy ending given to a perfect day every smile you fake is so condescending counting all the scar you made and now that im sitting here thinking it through ive never been anywhere cold a you oohyou might also like
9,TaylorSwift,Our Song,"I was ridin shotgun with my hair undone In the front seat of his car Hes got a one-hand feel on the steering wheel The other on my heart I look around, turn the radio down He says, ""Baby, is something wrong?"" I say, ""Nothin, I was just thinkin How we dont have a song"" And he says  Our song is the slamming screen door Sneakin out late, tapping on your window When were on the phone and you talk real slow Cause its late and your mama dont know Our song is the way you laugh The first date: ""Man, I didnt kiss her, and I should have"" And when I got home, fore I said amen Askin God if he could play it again  I was walking up the front porch steps After everything that day Had gone all wrong or been trampled on And lost and thrown away Got to the hallway, well on my way To my lovin bed I almost didnt notice all the roses And the note that said  Our song is the slamming screen door Sneakin out late, tapping on your window When were on the phone and you talk real slow Cause its late and your mama dont know Our song is the way you laugh The first date: ""Man, I didnt kiss her, and I should have"" And when I got home, fore I said amen Askin God if he could play it again You might also like Da-da-da-da  Ive heard every album, listened to the radio Waited for somethin to come along That was as good as our song  Cause our song is the slamming screen door Sneakin out late, tappin on his window When were on the phone and he talks real slow Cause its late and his mama dont know Our song is the way he laughs The first date: ""Man, I didnt kiss him, and I should have"" And when I got home, fore I said amen Askin God if he could play it again  Play it again, oh, yeah Oh, oh, yeah  I was ridin shotgun with my hair undone In the front seat of his car I grabbed a pen and an old napkin And I wrote down our song","i wa ridin shotgun with my hair undone in the front seat of his car he got a one-hand feel on the steering wheel the other on my heart i look around turn the radio down he say ""baby is something wrong?"" i say ""nothin i wa just thinkin how we dont have a song"" and he say our song is the slamming screen door sneakin out late tapping on your window when were on the phone and you talk real slow cause it late and your mama dont know our song is the way you laugh the first date: ""man i didnt kiss her and i should have"" and when i got home fore i said amen askin god if he could play it again i wa walking up the front porch step after everything that day had gone all wrong or been trampled on and lost and thrown away got to the hallway well on my way to my lovin bed i almost didnt notice all the rose and the note that said our song is the slamming screen door sneakin out late tapping on your window when were on the phone and you talk real slow cause it late and your mama dont know our song is the way you laugh the first date: ""man i didnt kiss her and i should have"" and when i got home fore i said amen askin god if he could play it again you might also like da-da-da-da ive heard every album listened to the radio waited for somethin to come along that wa a good a our song cause our song is the slamming screen door sneakin out late tappin on his window when were on the phone and he talk real slow cause it late and his mama dont know our song is the way he laugh the first date: ""man i didnt kiss him and i should have"" and when i got home fore i said amen askin god if he could play it again play it again oh yeah oh oh yeah i wa ridin shotgun with my hair undone in the front seat of his car i grabbed a pen and an old napkin and i wrote down our song"
